Total items: 68
Current groups:
  Удобрение: 68

Inventory:
01. Контур, ВР | group=Удобрение | dv=Железо 4%, цинк 1,5%, магний 5,4%, медь 1,5%, марганец 4%, молибден 0,1% | rate=0,1-0,2
30. Сотейра, ВРК | group=Удобрение | dv=33 г/л имазамокс + 15 г/л имазапир | rate=1,0-1,2
31. Кэйталин, ВР | group=Удобрение | dv=540 г/л глифосат (калийная соль) | rate=1,4-4,0
32. Кэйталин Экстра, ВДГ | group=Удобрение | dv=687 г/кг глифосат (изопропиламинная соль) | rate=1,0-3,0
33. Тайпан, КЭ | group=Удобрение | dv=90 г/л феноксапроп-П-этил + 90 г/л клодинафоп + 40 г/л мефенпир-диэтил | rate=0,25-0,35
34. Трастер, КЭ* | group=Удобрение | dv=100 г/л феноксапроп-П-этила + 50 г/л клоквинтосет-мексила | rate=0,4-0,9
35. Тифи, ВДГ | group=Удобрение | dv=750 г/кг тифенсульфурон-метил | rate=0,01-0,025
36. Флагман, КС | group=Удобрение | dv=150 г/л флорасулам | rate=0,033-0,05
37. Фомус, ВР | group=Удобрение | dv=250 г/л фомесафен | rate=1,2-1,8
38. Элант, КЭ | group=Удобрение | dv=564 г/л 2,4-Д кислота | rate=0,6-0,8
39. Элант Премиум, КЭ | group=Удобрение | dv=420 г/л 2,4-Д + 60 г/л дикамба | rate=0,7-0,9
40. Элант Экстра, СЭ | group=Удобрение | dv=410 г/л 2,4-Д + 7,4 г/л флорасулам | rate=0,3-0,5
41. ЭтилФло, СЭ | group=Удобрение | dv=300 г/л 2,4-Д + 6,25 г/л флорасулам | rate=0,4-0,6
42. Алтын, КЭ | group=Удобрение | dv=50 г/л лямбда-цигалотрин | rate=0,1-0,2
43. Цунами, КЭ | group=Удобрение | dv=100 г/л альфа-циперметрина | rate=0,1-0,15
44. Фэнс, КЭ | group=Удобрение | dv=100 г/л лямбда-цигалотрин | rate=0,05-0,1
45. Тиматерр, КС | group=Удобрение | dv=350 г/л тиаметоксам | rate=0,04-0,11
46. Тайсон, КС* | group=Удобрение | dv=Ацетамиприд 178 г/л + хлорантранилипрол 98 г/л | rate=0,2-0,4
47. Фэнсди, КС | group=Удобрение | dv=140 г/л клотианидин + 100 г/л лямбда-цигалотрин | rate=0,1-0,2
48. Битрин, КС | group=Удобрение | dv=Фипронил 120 г/л + бифентрин 60 г/л | rate=0,1-0,3
49. Кардон, КС | group=Удобрение | dv=500 г/л карбендазим | rate=1,0-1,5
50. Меклонил, МЭ* | group=Удобрение | dv=45 г/л мефеноксам + 42 г/л флудиоксанил + 28 г/л пираклостробин | rate=0,8-3,5
51. Редут, КС | group=Удобрение | dv=60 г/л тебуконазол | rate=0,4-0,5
52. Тиматерр, КС (красный) | group=Удобрение | dv=350 г/л тиаметоксам | rate=0,5-1,0
53. Битрин, КС* (с краской) | group=Удобрение | dv=Фипронил 120 г/л + бифентрин 60 г/л | rate=0,4-6,5
54. Турион, КЭ | group=Удобрение | dv=Имазалил 66 г/л + прохлораз 132 г/л + тритиконазол 56 г/л | rate=0,28-0,4
55. Вернер, КС | group=Удобрение | dv=Тебуконазол 120 г/л + азоксистробин 100 г/л + ципроконазол 40 г/л | rate=0,2-0,5
56. Форсер Энто, КС | group=Удобрение | dv=600 г/л имидаклоприд | rate=0,3-0,6
57. Вернер, КС | group=Удобрение | dv=Тебуконазол 120 г/л + азоксистробин 100 г/л + ципроконазол 40 г/л | rate=0,5-1,0
58. Кардон, КС | group=Удобрение | dv=500 г/л карбендазим | rate=0,3-0,6
59. Рекрут, КС | group=Удобрение | dv=400 г/л ципроконазол | rate=0,1-0,2
60. Р-Ципрос, КЭ | group=Удобрение | dv=250 г/л пропиконазол + 80 г/л ципроконазол | rate=0,4-0,5
61. ПроТэб, КМЭ | group=Удобрение | dv=300 г/л пропиконазола + 200 г/л тебуконазола | rate=0,3-0,6
62. Ламонд, ВР | group=Удобрение | dv=373 г/л дикват дибромида | rate=1,0-1,3
63. Фосфин, ТАБ | group=Удобрение | dv=560 г/кг алюминия фосфид | rate=0,005-0,009
64. Гласис, ВР | group=Удобрение | dv=Ортофосфорная кислота | rate=0,3-0,5
65. Неон-99 | group=Удобрение | dv=На основе органических спиртов | rate=0,1-0,2
66. Неон-99 Турбо | group=Удобрение | dv=Органо-силиконовый суперсмачиватель | rate=0,02-0,08
67. Тесил, ВР | group=Удобрение | dv=Водная эмульсия кремнийорганических полимеров | rate=0,005-0,02
68. Янтарная к-та, ВР | group=Удобрение | dv=Янтарная кислота (25%) | rate=0,2-0,4
